A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Alexander Zverev,Alejandro Tabilo,3.0,35.0,5805.0,1248.0,29.0,28.9,198.0,188.0,1.0,25.0,Hard,G,5,100644.0,126214.0
Luciano Darderi,Dane Sweeny,16.0,182.0,2260.0,325.0,24.2,24.9,183.0,170.0,21.0,,Hard,G,5,209260.0,208013.0
Michael Zheng,Arthur Gea,145.0,140.0,414.0,436.0,22.0,21.3,188.0,180.0,,,Hard,G,5,210116.0,210338.0
Zizou Bergs,Botic van de Zandschulp,39.0,54.0,1140.0,898.0,26.9,30.5,185.0,191.0,31.0,,Hard,G,5,200267.0,122298.0
Karen Khachanov,Benjamin Bonzi,15.0,104.0,2320.0,616.0,29.9,29.8,198.0,183.0,,,Hard,G,5,111575.0,126127.0
Jakub Mensik,Learner Tien,28.0,20.0,1510.0,1940.0,20.7,20.4,193.0,180.0,17.0,14.0,Hard,G,5,210150.0,210530.0
Taylor Fritz,Francisco Cerundolo,8.0,27.0,3720.0,1570.0,28.5,27.7,196.0,185.0,9.0,24.0,Hard,G,5,126203.0,202103.0
Alexander Blockx,Flavio Cobolli,36.0,12.0,1200.0,2790.0,21.0,24.0,191.0,183.0,28.0,5.0,Hard,G,5,210696.0,207925.0
Daniil Medvedev,Arthur Rinderknech,9.0,24.0,3460.0,1711.0,30.2,30.8,198.0,196.0,7.0,26.0,Hard,G,5,106421.0,126239.0
Valentin Vacherot,Frances Tiafoe,17.0,21.0,2168.0,1905.0,27.4,28.3,193.0,188.0,22.0,11.0,Hard,G,5,200473.0,126207.0
Alex Michelsen,Daniel Merida,41.0,86.0,1075.0,696.0,21.7,21.6,193.0,188.0,,,Hard,G,5,210506.0,210017.0
Tomas Martin Etcheverry,Mariano Navone,25.0,42.0,1630.0,1066.0,26.8,25.2,196.0,178.0,27.0,,Hard,G,5,144869.0,208363.0
Ben Shelton,Denis Shapovalov,6.0,37.0,4030.0,1170.0,23.6,27.0,193.0,185.0,8.0,,Hard,G,5,210097.0,133430.0
Jiri Lehecka,Stefanos Tsitsipas,13.0,82.0,2715.0,725.0,24.4,27.7,185.0,193.0,18.0,,Hard,G,5,208103.0,126774.0
Alexander Bublik,Tommy Paul,10.0,26.0,3230.0,1625.0,28.9,29.0,196.0,185.0,15.0,20.0,Hard,G,5,122330.0,126205.0
Yibing Wu,Carlos Alcaraz,118.0,2.0,559.0,13240.0,26.4,22.9,183.0,183.0,,2.0,Hard,G,5,200059.0,207989.0
