A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Jannik Sinner,Shintaro Mochizuki,1,151,13450,397,24.0,23.0,191,175,1.0,,Grass,G,5,206173.0,208278.0
Hubert Hurkacz,Jan-Lennard Struff,96,74,665,804,29.0,36.0,196,193,,,Grass,G,5,128034.0,105526.0
Felix Auger-Aliassime,Alejandro Davidovich Fokina,4,23,4390,2060,25.0,27.0,193,183,3.0,22.0,Grass,G,5,200000.0,200221.0
Roman Safiullin,Novak Djokovic,132,8,458,3760,28.0,39.0,185,188,,7.0,Grass,G,5,,104925.0
Alex de Minaur,Flavio Cobolli,6,10,4110,3460,27.0,24.0,183,183,5.0,9.0,Grass,G,5,200282.0,207925.0
Grigor Dimitrov,Arthur Fery,146,114,407,547,35.0,23.0,191,175,,,Grass,G,5,105777.0,209259.0
Taylor Fritz,Alexander Bublik,7,11,3765,2620,28.0,29.0,196,196,6.0,10.0,Grass,G,5,126203.0,122330.0
Jiri Lehecka,Alexander Zverev,14,3,2360,7190,24.0,29.0,185,198,13.0,2.0,Grass,G,5,208103.0,100644.0
