A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Jannik Sinner,Jan-Lennard Struff,1,74,13450,804,24.0,36.0,191,193,1.0,,Grass,G,5,206173.0,105526.0
Felix Auger-Aliassime,Novak Djokovic,4,8,4390,3760,25.0,39.0,193,188,3.0,7.0,Grass,G,5,200000.0,104925.0
Flavio Cobolli,Arthur Fery,10,114,3460,547,24.0,23.0,183,175,9.0,,Grass,G,5,207925.0,209259.0
Taylor Fritz,Alexander Zverev,7,3,3765,7190,28.0,29.0,196,198,6.0,2.0,Grass,G,5,126203.0,100644.0
