A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Jannik Sinner,Nuno Borges,1,48,13450,1020,24.0,29.0,191,185,1.0,,Grass,G,5,206173.0,132686.0
Jenson Brooksby,Ignacio Buse,81,34,720,1375,25.0,22.0,188,183,,31.0,Grass,G,5,202385.0,
Rafael Jodar,Pablo Carreno Busta,26,71,1839,834,19.0,34.0,191,188,23.0,,Grass,G,5,212588.0,105807.0
Shintaro Mochizuki,Ethan Quinn,151,47,397,1021,23.0,22.0,175,191,,,Grass,G,5,208278.0,210319.0
Hubert Hurkacz,Sebastian Ofner,96,110,665,557,29.0,30.0,196,191,,,Grass,G,5,128034.0,
Soonwoo Kwon,Tommy Paul,200,25,280,1925,28.0,29.0,180,185,,21.0,Grass,G,5,,126205.0
Brandon Nakashima,Jan-Lennard Struff,31,74,1485,804,24.0,36.0,188,193,28.0,,Grass,G,5,206909.0,105526.0
Daniel Merida,Daniil Medvedev,84,9,706,3580,21.0,30.0,188,198,,8.0,Grass,G,5,,106421.0
Felix Auger-Aliassime,Dino Prizmic,4,89,4390,691,25.0,20.0,193,188,3.0,,Grass,G,5,200000.0,209976.0
Nicolas Mejia,Michael Zheng,165,144,349,410,26.0,22.0,183,188,,,Grass,G,5,,210116.0
Alejandro Davidovich Fokina,Fabian Marozsan,23,53,2060,970,27.0,26.0,183,193,22.0,,Grass,G,5,200221.0,206681.0
Marton Fucsovics,Learner Tien,76,17,781,2270,34.0,20.0,188,180,,16.0,Grass,G,5,105916.0,210530.0
Roman Safiullin,Botic van de Zandschulp,132,54,458,969,28.0,30.0,185,191,,,Grass,G,5,,122298.0
Jesper de Jong,Joao Fonseca,73,27,808,1710,26.0,19.0,180,185,,24.0,Grass,G,5,207411.0,211663.0
Arthur Rinderknech,Martin Damm,28,106,1683,603,30.0,22.0,196,203,25.0,,Grass,G,5,126239.0,102093.0
Stefanos Tsitsipas,Novak Djokovic,87,8,700,3760,27.0,39.0,193,188,,7.0,Grass,G,5,126774.0,104925.0
Alex de Minaur,Adrian Mannarino,6,40,4110,1139,27.0,37.0,183,180,5.0,,Grass,G,5,200282.0,105173.0
Zachary Svajda,Kamil Majchrzak,66,45,855,1032,23.0,30.0,175,180,,,Grass,G,5,208260.0,111794.0
Karen Khachanov,Yannick Hanfmann,22,56,2080,949,30.0,34.0,198,193,19.0,,Grass,G,5,111575.0,105870.0
James Duckworth,Flavio Cobolli,79,10,748,3460,34.0,24.0,183,183,,9.0,Grass,G,5,105902.0,207925.0
Jakub Mensik,Grigor Dimitrov,18,146,2255,407,20.0,35.0,193,191,15.0,,Grass,G,5,210150.0,105777.0
Matteo Berrettini,Arthur Fils,51,24,985,1940,30.0,22.0,196,185,,20.0,Grass,G,5,,
Zizou Bergs,Jaime Faria,37,98,1250,660,27.0,22.0,185,188,,,Grass,G,5,200267.0,210262.0
Arthur Fery,Otto Virtanen,114,140,547,432,23.0,25.0,175,191,,,Grass,G,5,209259.0,
Taylor Fritz,Patrick Kypson,7,113,3765,548,28.0,26.0,196,188,6.0,,Grass,G,5,126203.0,200516.0
Gabriel Diallo,Lorenzo Sonego,88,69,695,843,24.0,31.0,203,191,,,Grass,G,5,209113.0,132283.0
Frances Tiafoe,Jan Choinski,19,100,2180,657,28.0,30.0,188,196,17.0,,Grass,G,5,126207.0,
Kyrian Jacquet,Alexander Bublik,139,11,433,2620,25.0,29.0,178,196,,10.0,Grass,G,5,208021.0,122330.0
Jiri Lehecka,Alex Molcan,14,101,2360,639,24.0,28.0,185,178,13.0,,Grass,G,5,208103.0,
Jacob Fearnley,Jaume Munar,159,44,362,1075,24.0,29.0,183,183,,,Grass,G,5,207985.0,144719.0
Quentin Halys,Marcos Giron,95,92,666,680,29.0,32.0,191,180,,,Grass,G,5,111460.0,106218.0
Valentin Royer,Alexander Zverev,75,3,798,7190,25.0,29.0,188,198,,2.0,Grass,G,5,208316.0,100644.0
