A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Juan Manuel Cerundolo,Matteo Berrettini,56,105,935,585,24.0,30.0,183.0,196.0,,,Clay,G,5,207678.0,
Frances Tiafoe,Matteo Arnaldi,22,104,1905,586,28.0,25.0,188.0,185.0,19.0,,Clay,G,5,126207.0,208286.0
Felix Auger-Aliassime,Alejandro Tabilo,6,36,4050,1278,25.0,28.0,193.0,188.0,4.0,,Clay,G,5,,126214.0
Flavio Cobolli,Zachary Svajda,14,85,2340,696,24.0,23.0,183.0,175.0,10.0,,Clay,G,5,207925.0,208260.0
Jakub Mensik,Andrey Rublev,27,13,1550,2460,20.0,28.0,193.0,188.0,26.0,11.0,Clay,G,5,210150.0,126094.0
Casper Ruud,Joao Fonseca,16,30,2275,1435,27.0,19.0,183.0,185.0,15.0,28.0,Clay,G,5,134770.0,211663.0
Rafael Jodar,Pablo Carreno Busta,29,89,1461,685,19.0,34.0,,188.0,27.0,,Clay,G,5,212588.0,105807.0
Jesper de Jong,Alexander Zverev,106,3,580,5705,25.0,29.0,180.0,198.0,,2.0,Clay,G,5,,100644.0
