A_name,B_name,A_rank,B_rank,A_rank_points,B_rank_points,A_age,B_age,A_height,B_height,A_seed,B_seed,surface,tourney_level,best_of,A_id,B_id
Matteo Berrettini,Matteo Arnaldi,105,104,585,586,30.0,25.0,196.0,185.0,,,Clay,G,5,,208286.0
Felix Auger-Aliassime,Flavio Cobolli,6,14,4050,2340,25.0,24.0,193.0,183.0,4.0,10.0,Clay,G,5,,207925.0
Jakub Mensik,Joao Fonseca,27,30,1550,1435,20.0,19.0,193.0,185.0,26.0,28.0,Clay,G,5,210150.0,211663.0
Rafael Jodar,Alexander Zverev,29,3,1461,5705,19.0,29.0,,198.0,27.0,2.0,Clay,G,5,212588.0,100644.0
