player_id,player_name,elo_global,elo_hard,elo_clay,elo_grass,elo_carpet
100644,Alexander Zverev,1979.9319797714347,1945.022016177045,1874.3204800442438,1684.0766867229174,1500.0
101404,Thomas Muster,1458.0127895282244,1466.952890689692,1485.6900317953746,1500.0,1500.0
101962,Younes El Aynaoui,1500.0,1500.0,1500.0,1500.0,1500.0
102093,Martin Damm,1579.179780023273,1563.4664019655968,1496.4609737523433,1500.0,1500.0
102148,Fabrice Santoro,1487.6203782449006,1487.6203782449006,1500.0,1500.0,1500.0
102382,Julian Knowle,1485.5583849180962,1483.1366702804405,1500.0,1500.0,1500.0
102388,Simon Aspelin,1486.1376405370777,1486.3047433797512,1500.0,1500.0,1500.0
102434,Vincent Spadea,1483.9290903788512,1483.9290903788512,1500.0,1500.0,1500.0
102783,Rainer Schuettler,1442.0526851779803,1412.8914982586748,1444.0915180464183,1534.1866531222774,1500.0
102800,Nenad Zimonjic,1470.0870197784016,1473.1141038902138,1485.7182819692753,1500.0,1500.0
102821,Cecil Mamiit,1403.791282635582,1467.3007800655978,1453.5953252325382,1500.0,1469.4695015289756
102830,Paulo Carvallo,1483.263693206478,1500.0,1483.263693206478,1500.0,1500.0
102839,Nicolas Lapentti,1411.7151018625827,1467.6771372932885,1438.5298563105887,1500.0,1500.0
102845,Carlos Moya,1447.0238008569038,1470.8735153820724,1465.6305086005812,1500.0,1500.0
102886,Frantisek Cermak,1450.7168618520584,1448.4494742101276,1500.0,1500.0,1500.0
102887,Ramon Delgado,1500.54013623314,1503.2347167672776,1516.0,1484.0,1500.0
102905,Stefan Koubek,1458.8204834547632,1495.364170549708,1467.775290591457,1482.630855838442,1500.0
102963,Robert Lindstedt,1492.2822535810283,1493.121847781177,1500.0,1500.0,1500.0
102967,Marc Gicquel,1374.5195450345416,1468.138089531048,1423.9157530368007,1423.7063393005633,1500.0
102999,Stefano Galvani,1469.6152399861357,1484.3594722977443,1485.8409339082546,1500.0,1500.0
103017,Nicolas Kiefer,1482.3813993678832,1500.0,1480.5533581918712,1484.0,1500.0
103035,Alessio Di Mauro,1506.3051615380607,1500.0,1503.951093895826,1500.0,1500.0
103043,Coenie Van Wyk,1516.0,1516.0,1500.0,1500.0,1500.0
103077,Konstantinos Economidis,1533.3665224205565,1500.0,1533.3370000723053,1500.0,1500.0
103096,Arnaud Clement,1455.2226787922316,1438.1026998163825,1474.663103869739,1471.909447685403,1500.0
103103,Dominik Hrbaty,1486.1495802033312,1486.1495802033312,1500.0,1500.0,1500.0
103105,Ruben Ramirez Hidalgo,1323.4891529227061,1439.710635794356,1345.0285475811418,1443.9935144439276,1500.0
103109,Talal Ouahabi,1469.807707248774,1500.0,1470.0942115936507,1500.0,1500.0
103110,Daniele Bracciali,1494.4630319623714,1497.954639443485,1500.0,1500.0,1500.0
103163,Tommy Haas,1530.2815117115888,1560.9028701388872,1567.4593964232934,1541.832834398107,1500.0
103165,Gorka Fraile,1483.9955968099027,1500.0,1485.4121004719168,1500.0,1500.0
103169,Oscar Hernandez,1375.885781104788,1440.2863436043203,1416.6269165567767,1484.0,1500.0
103174,Noam Okun,1459.0546727740657,1473.9597343026585,1500.0,1484.0,1500.0
103188,Michael Russell,1454.5099225024987,1486.8857046882151,1417.2221749878038,1442.7600733891559,1500.0
103206,Sebastien Grosjean,1465.4520967667295,1465.4520967667295,1500.0,1500.0,1500.0
103228,Marcos Daniel,1400.5159637479842,1437.5615993867523,1448.5106964892698,1483.2976013366472,1500.0
103229,Kornel Bardoczky,1484.0,1484.0,1500.0,1500.0,1500.0
103240,Kevin Kim,1467.7440466208438,1484.7124540613024,1500.0,1483.263693206478,1500.0
103248,Harel Levy,1435.4429542217815,1458.6321902622199,1470.6034900931136,1500.0,1500.0
103252,Alberto Martin,1516.0644889236428,1500.0,1519.7012996632207,1500.0,1500.0
103285,Radek Stepanek,1673.6961892530435,1616.8336188956955,1527.7862934191378,1569.8988746950834,1500.0
103286,Yohny Romero,1516.0,1500.0,1516.0,1500.0,1500.0
103292,Gaston Gaudio,1481.456058621274,1500.0,1482.597626351594,1500.0,1500.0
103294,Christophe Rochus,1356.8305021227063,1411.1829401615562,1437.400342031927,1484.0,1500.0
103333,Ivo Karlovic,1497.1452607614688,1477.1737904886606,1487.3324613121695,1557.9251749184657,1500.0
103344,Ivan Ljubicic,1569.0605275122844,1541.9046132632072,1564.2898886391172,1497.222554716476,1500.0
103393,Yuri Schukin,1525.567689273104,1484.2959167656397,1547.1749448032183,1500.0,1500.0
103395,Julio Silva,1482.5511509878793,1482.3470488684475,1500.0,1500.0,1500.0
103401,Jan Hernych,1561.9023530276272,1486.2208739905075,1513.3855306421299,1530.6034575075043,1500.0
103427,Yew Ming Si,1484.7023986633528,1484.7023986633528,1500.0,1500.0,1500.0
103428,Juan Ignacio Chela,1462.5637948258911,1425.716728014882,1552.018325428132,1468.940363026019,1500.0
103429,Peter Luczak,1364.7826437260826,1449.1703081946634,1358.6231644446327,1498.0608954308568,1500.0
103444,Jean Rene Lisnard,1466.907255094731,1486.8684991664663,1458.8353520949056,1500.0,1500.0
103451,Bjorn Phau,1487.5916102617578,1459.7142390050328,1483.418903934577,1473.8361397233468,1500.0
103454,Nicolas Massu,1382.523533448322,1467.0820073802547,1413.2317729220615,1484.0,1500.0
103470,Robert Kendrick,1396.472413530782,1465.3538511926847,1438.9764493105615,1466.772997726328,1500.0
103472,Karim Maamoun,1469.3356824302057,1500.736306793522,1468.7364238274226,1500.0,1500.0
103484,James Blake,1520.1894926851226,1552.0660962799354,1442.8265983650144,1421.5413874983558,1500.0
103490,Santiago Ventura,1397.0158729297832,1484.0,1434.6258219259298,1467.3343214512422,1500.0
103499,Aqeel Khan,1556.9747604900786,1536.0447673483775,1471.868116103993,1549.1453983587326,1500.0
103506,Martin Vassallo Arguello,1436.7349728353809,1467.2975328274754,1468.736306793522,1500.0,1500.0
103507,Juan Carlos Ferrero,1595.4452434482623,1536.5938711488766,1604.1162386612045,1463.5677513059993,1500.0
103514,Young Jun Kim,1518.8553090297812,1518.7543880303815,1500.0,1500.0,1500.0
103523,Rohan Bopanna,1447.1129643209936,1430.831749453761,1516.0,1485.962358689301,1500.0
103525,Ivan Miranda,1511.817934568923,1500.0,1514.5612260339533,1500.0,1500.0
103529,Aisam Ul Haq Qureshi,1527.421968910434,1527.7085168180115,1532.0131082759087,1494.4220422572555,1500.0
103531,Thomas Oger,1508.8051629033455,1499.3518657665918,1531.263693206478,1500.0,1484.0
103534,Nicolas Devilder,1517.3225671157902,1500.0,1508.48213329356,1500.0,1500.0
